Timestamp,Asal Instansi,Jenis kelamin,Fakultas/sekolah asal,Prodi asal,Semester kuliah bagi mahasiswa aktif ketika mengikuti Program GIKnowledge Building (di semester ganjil tahun ajaran 2025/2026)?,Jenjang pendidikan asal,Dari mana kamu mengetahui informasi terkait Program GIKnowledge Building?,Apa yang membuatmu tertarik mengikuti GIKnowledge Building?
2025-07-19 17:17:37,Universitas Gadjah Mada,Laki-Laki,EKONOMIKA DAN BISNIS,S1 Ilmu Ekonomi,Semester 9,Akademik (Sarjana/S1),"Teman, Prodi/Fakultas","Saya tertarik setelah mendengarkan sosialisasi, Saya tertarik setelah saya mendapatkan informasi dari Prodi/Fakultas, Saya tertarik setelah saya melihat informasi dari social media GIK"
2025-07-08 14:48:54,Universitas Gadjah Mada,Laki-Laki,FARMASI,S1 Farmasi,Semester 5,Akademik (Sarjana/S1),Integrated Career Days,Saya tertarik setelah saya mendapatkan informasi program ini di UGM Integrated Career Days
2025-07-02 8:44:58,Universitas Gadjah Mada,Laki-Laki,EKONOMIKA DAN BISNIS,S1 Manajemen,Semester 5,Akademik (Sarjana/S1),Simaster,Saya tertarik setelah saya mendapatkan informasi dari Prodi/Fakultas
2025-07-12 19:46:27,UPN Veteran Yogyakarta,Laki-Laki,EKONOMIKA DAN BISNIS,S1 Manajemen,Semester 5,Akademik (Sarjana/S1),Prodi/Fakultas,Saya tertarik setelah saya mendapatkan informasi dari Prodi/Fakultas
2025-07-14 22:44:22,Universitas Gadjah Mada,Laki-Laki,GEOGRAFI,S1 Kartografi dan Penginderaan Jauh,Semester 7,Akademik (Sarjana/S1),"Instagram GIK UGM, Teman","Saya tertarik setelah saya mendapatkan informasi program ini di UGM Integrated Career Days, Saya tertarik setelah saya melihat informasi dari social media GIK"
2025-06-23 15:08:45,Universitas Gadjah Mada,Laki-Laki,SEKOLAH VOKASI,D4 Teknologi Rekayasa Perangkat Lunak,Semester 5,Vokasi (Sarjana Terapan/D4),Instagram GIK UGM,Saya tertarik setelah saya melihat informasi dari social media GIK
2025-07-20 23:29:11,Universitas Gadjah Mada,Laki-Laki,SEKOLAH VOKASI,D4 Teknologi Rekayasa Internet,Semester 5,Vokasi (Sarjana Terapan/D4),Kaprodi,Saya tertarik setelah saya mendapatkan informasi dari Prodi/Fakultas
2025-07-20 17:06:20,Universitas Gadjah Mada,Laki-Laki,SEKOLAH VOKASI,D4 Perbankan,Semester 5,Vokasi (Sarjana Terapan/D4),Instagram GIK UGM,Saya tertarik setelah mendengarkan sosialisasi
2025-07-20 21:29:56,Universitas Gadjah Mada,Laki-Laki,MATEMATIKA DAN ILMU PENGETAHUAN ALAM,S1 Ilmu Komputer,Semester 5,Akademik (Sarjana/S1),Instagram GIK UGM,Saya tertarik setelah mendengar teman saya ikut mendaftar GIKnowledge Building 2024
2025-07-09 15:36:34,Universitas Gadjah Mada,Laki-Laki,MATEMATIKA DAN ILMU PENGETAHUAN ALAM,S1 Statistika,Semester 5,Akademik (Sarjana/S1),Instagram GIK UGM,"Saya tertarik setelah mendengarkan sosialisasi, Saya tertarik setelah saya melihat informasi dari social media GIK"
2025-06-13 20:29:23,Universitas Gadjah Mada,Laki-Laki,TEKNOLOGI PERTANIAN,S1 Teknik Pertanian dan Biosistem,Semester 5,Akademik (Sarjana/S1),"Instagram GIK UGM, Teman, Prodi/Fakultas","Saya tertarik setelah saya melihat informasi dari social media GIK, Saya tertarik setelah saya melihat informasi dari social media mitra GIKnowledge Building"
2025-07-17 10:35:11,Universitas Gadjah Mada,Laki-Laki,KEHUTANAN,S1 Kehutanan,Semester 5,Akademik (Sarjana/S1),Prodi/Fakultas,"Saya tertarik setelah saya mendapatkan informasi dari Prodi/Fakultas, Saya tertarik setelah saya melihat informasi dari social media GIK, Saya tertarik sekali dengan program pengembangan diri seperti ini untuk bekal persiapan saya menuju ke jenjang kerja karena persaingan di dunia kerja semakin ketat dan saya harus mempersiapkan diri dari sekarang"
2025-07-20 23:46:21,Universitas Gadjah Mada,Laki-Laki,PERTANIAN,S1 Akuakultur,Semester 5,Akademik (Sarjana/S1),Ditmawa UGM,Saya tertarik setelah saya melihat informasi dari social media mitra GIKnowledge Building
2025-07-09 9:39:27,Universitas Gadjah Mada,Laki-Laki,BIOLOGI,S1 Biologi,N/A,Akademik (Sarjana/S1),Instagram GIK UGM,Saya tertarik setelah saya mendapatkan informasi program ini di UGM Integrated Career Days
2025-07-18 22:03:40,Universitas Gadjah Mada,Laki-Laki,EKONOMIKA DAN BISNIS,S1 Akuntansi,Semester 5,Akademik (Sarjana/S1),Instagram GIK UGM,"Saya tertarik setelah mendengarkan sosialisasi, Saya tertarik setelah saya melihat informasi dari social media GIK, Saya tertarik setelah saya melihat informasi dari social media mitra GIKnowledge Building"
2025-07-01 2:09:14,Universitas Gadjah Mada,Laki-Laki,PERTANIAN,S2 : Manajemen Agribisnis,N/A,Akademik (Pascasarjana/S2),Instagram GIK UGM,Saya tertarik setelah saya melihat informasi dari social media GIK
2025-07-20 22:05:31,Universitas Gadjah Mada,Laki-Laki,TEKNIK,S2 Magister Teknik Sistem FT,N/A,Akademik (Pascasarjana/S2),Instagram GIK UGM,"Saya tertarik setelah saya mendapatkan informasi dari Prodi/Fakultas, Saya tertarik setelah saya melihat informasi dari social media GIK"
2025-07-20 23:47:58,Universitas Islam Negeri Sunan Kalijaga,Laki-Laki,TEKNIK,S1 Teknik Fisika,Semester 5,Akademik (Sarjana/S1),Simaster,Saya tertarik setelah saya mendapatkan informasi dari Prodi/Fakultas
2025-07-19 23:50:44,Universitas Gadjah Mada,Laki-Laki,BIOLOGI,S2 Biologi,Semester 3,Akademik (Pascasarjana/S2),Instagram GIK UGM,"Saya tertarik setelah saya mendapatkan informasi program ini di UGM Integrated Career Days, Saya tertarik setelah saya melihat informasi dari social media GIK"
2025-07-20 5:38:04,Universitas Gadjah Mada,Laki-Laki,TEKNIK,S1 Teknik Kimia,Semester 7,Akademik (Sarjana/S1),Prodi/Fakultas,Saya tertarik setelah saya mendapatkan informasi dari Prodi/Fakultas
2025-07-20 21:00:17,Universitas Gadjah Mada,Laki-Laki,EKONOMIKA DAN BISNIS,S1 Manajemen,Semester 5,Akademik (Sarjana/S1),Instagram GIK UGM,"Saya tertarik setelah saya melihat informasi dari social media GIK, Saya tertarik setelah saya melihat informasi dari social media mitra GIKnowledge Building"
2025-07-02 8:34:41,Universitas Gadjah Mada,Laki-Laki,PSIKOLOGI,S1 Psikologi,Semester 5,Akademik (Sarjana/S1),"Instagram GIK UGM, Prodi/Fakultas","Saya tertarik setelah mendengarkan sosialisasi, Saya tertarik setelah saya mendapatkan informasi dari Prodi/Fakultas, Saya tertarik setelah saya melihat informasi dari social media GIK"
2025-07-20 22:20:11,Universitas Gadjah Mada,Laki-Laki,TEKNIK,S1 Teknik Geodesi,Semester 5,Akademik (Sarjana/S1),Prodi/Fakultas,Saya tertarik setelah mendengarkan sosialisasi
2025-07-01 8:34:48,Universitas Islam Negeri Sunan Kalijaga,Laki-Laki,TEKNOLOGI PERTANIAN,S1 Teknologi Industri Pertanian,Semester 5,Akademik (Sarjana/S1),Ditmawa,Saya tertarik setelah saya melihat informasi dari social media GIK
2025-07-20 23:33:15,Universitas Gadjah Mada,Laki-Laki,EKONOMIKA DAN BISNIS,S2 Magister Manajemen,N/A,Akademik (Pascasarjana/S2),Instagram GIK UGM,Saya tertarik setelah saya mendapatkan informasi program ini di UGM Integrated Career Days
2025-06-12 12:45:25,Universitas Gadjah Mada,Laki-Laki,"KEDOKTERAN, KESEHATAN MASYARAKAT, DAN KEPERAWATAN",S1 Gizi,Semester 5,Akademik (Sarjana/S1),Prodi/Fakultas,Saya tertarik setelah saya mendapatkan informasi dari Prodi/Fakultas
2025-07-02 13:07:50,Universitas Gadjah Mada,Laki-Laki,EKONOMIKA DAN BISNIS,S1 Akuntansi,Semester 5,Akademik (Sarjana/S1),"Instagram GIK UGM, Teman","Saya tertarik setelah saya melihat informasi dari social media GIK, Saya tertarik setelah saya melihat informasi dari social media mitra GIKnowledge Building"
2025-07-20 20:33:43,Universitas Gadjah Mada,Laki-Laki,PERTANIAN,S1 Ekonomi Pertanian dan Agribisnis,Semester 5,Akademik (Sarjana/S1),Instagram GIK UGM,"Saya tertarik setelah saya melihat informasi dari social media GIK, Saya tertarik setelah saya melihat informasi dari social media mitra GIKnowledge Building"
2025-07-20 22:06:25,Universitas Gadjah Mada,Laki-Laki,TEKNIK,S2 Teknik Fisika,N/A,Akademik (Pascasarjana/S2),Instagram GIK UGM,Saya tertarik setelah saya melihat informasi dari social media GIK
2025-06-27 19:22:44,Universitas Gadjah Mada,Laki-Laki,SEKOLAH VOKASI,D4 Bahasa Inggris,Semester 5,Vokasi (Sarjana Terapan/D4),WA Ditmawa,Saya tertarik setelah mendengarkan sosialisasi
2025-07-19 9:02:36,Universitas Gadjah Mada,Laki-Laki,EKONOMIKA DAN BISNIS,S1 Manajemen,Semester 9,Akademik (Sarjana/S1),"Instagram GIK UGM, Prodi/Fakultas","Saya tertarik setelah saya mendapatkan informasi dari Prodi/Fakultas, Saya tertarik setelah saya melihat informasi dari social media GIK"
2025-07-20 23:11:52,Universitas Gadjah Mada,Laki-Laki,SEKOLAH VOKASI,D4 Sistem Informasi Geografis,Semester 9,Vokasi (Sarjana Terapan/D4),Instagram GIK UGM,"Saya tertarik setelah mendengarkan sosialisasi, Saya tertarik setelah saya mendapatkan informasi program ini di UGM Integrated Career Days, Saya tertarik setelah saya melihat informasi dari social media GIK"
2025-07-20 19:56:24,UIN Yogyakata,Laki-Laki,SEKOLAH VOKASI,D4 Teknologi Rekayasa Perangkat Lunak,Semester 5,Vokasi (Sarjana Terapan/D4),Prodi/Fakultas,Saya tertarik setelah saya mendapatkan informasi dari Prodi/Fakultas
2025-07-20 12:47:04,Universitas Negeri Yogyakarta,Laki-Laki,TEKNIK,S1 Teknik Kimia,Semester 5,Akademik (Sarjana/S1),"Teman, Prodi/Fakultas","Saya tertarik setelah mendengar teman saya ikut mendaftar GIKnowledge Building 2024, Saya tertarik setelah saya mendapatkan informasi dari Prodi/Fakultas, Saya tertarik setelah saya melihat informasi dari social media GIK, Saya tertarik setelah saya melihat informasi dari social media mitra GIKnowledge Building"
2025-07-20 11:55:53,Universitas Gadjah Mada,Laki-Laki,TEKNIK,S1 Teknik Industri,N/A,Akademik (Sarjana/S1),Instagram GIK UGM,Saya tertarik setelah saya melihat informasi dari social media GIK
2025-07-07 12:39:46,Universitas Gadjah Mada,Laki-Laki,SEKOLAH VOKASI,D4 Bahasa Inggris,Semester 5,Vokasi (Sarjana Terapan/D4),"Instagram GIK UGM, Website GIK UGM, Prodi/Fakultas","Saya tertarik setelah saya mendapatkan informasi dari Prodi/Fakultas, Saya tertarik setelah saya melihat informasi dari social media GIK, Saya tertarik setelah saya melihat informasi dari social media mitra GIKnowledge Building"
2025-07-03 17:09:40,UPN Veteran Yogyakarta,Laki-Laki,EKONOMIKA DAN BISNIS,S1 Akuntansi,Semester 7,Akademik (Sarjana/S1),Prodi/Fakultas,Saya tertarik setelah saya mendapatkan informasi dari Prodi/Fakultas
2025-06-30 23:08:15,Universitas Gadjah Mada,Laki-Laki,TEKNIK,S2 Magister Teknik Industri,N/A,Akademik (Pascasarjana/S2),Instagram GIK UGM,Saya tertarik setelah saya melihat informasi dari social media GIK
2025-07-17 9:59:31,Universitas Gadjah Mada,Laki-Laki,TEKNIK,S1 Teknik Industri,Semester 5,Akademik (Sarjana/S1),Instagram GIK UGM,Saya tertarik setelah saya melihat informasi dari social media GIK
2025-07-16 3:36:33,Universitas Gadjah Mada,Laki-Laki,PERTANIAN,Ekonomi Pertanian dan Agribisnis,N/A,Alumni UGM,Teman,Saya tertarik setelah saya melihat informasi dari social media GIK
2025-07-15 19:41:15,Universitas Gadjah Mada,Laki-Laki,SEKOLAH VOKASI,D4 Bahasa Inggris,Semester 5,Vokasi (Sarjana Terapan/D4),Instagram GIK UGM,"Saya tertarik setelah saya mendapatkan informasi program ini di UGM Integrated Career Days, Saya tertarik setelah saya melihat informasi dari social media mitra GIKnowledge Building"
2025-07-20 20:39:59,Universitas Gadjah Mada,Laki-Laki,SEKOLAH VOKASI,D4 Pengelolaan Hutan,Semester 5,Vokasi (Sarjana Terapan/D4),Teman,Saya tertarik setelah mendengar teman saya ikut mendaftar GIKnowledge Building 2024
2025-07-20 22:41:48,Universitas Gadjah Mada,Laki-Laki,TEKNIK,S1 Teknik Infrastruktur Lingkungan,Semester 5,Akademik (Sarjana/S1),Website GIK UGM,Saya tertarik setelah saya mendapatkan informasi program ini di UGM Integrated Career Days
2025-07-09 15:41:51,UPN Veteran Yogyakarta,Laki-Laki,PERTANIAN,S1 Akuakultur,Semester 9,Akademik (Sarjana/S1),"Instagram GIK UGM, Teman","Saya tertarik setelah mendengarkan sosialisasi, Saya tertarik setelah saya melihat informasi dari social media mitra GIKnowledge Building"
2025-06-27 10:41:01,Universitas Gadjah Mada,Laki-Laki,EKONOMIKA DAN BISNIS,S1 Manajemen,Semester 5,Akademik (Sarjana/S1),"Instagram GIK UGM, Teman, Email S1 Kemahasiswaan","Saya tertarik setelah mendengarkan sosialisasi, Saya tertarik setelah mendengar teman saya ikut mendaftar GIKnowledge Building 2024, Saya tertarik setelah saya mendapatkan informasi program ini di UGM Integrated Career Days"
2025-06-29 13:49:45,Universitas Gadjah Mada,Laki-Laki,MATEMATIKA DAN ILMU PENGETAHUAN ALAM,S1 Geofisika,Semester 5,Akademik (Sarjana/S1),Email Humas UGM,Saya tertarik setelah mendengarkan sosialisasi
2025-07-15 7:19:13,Universitas Gadjah Mada,Laki-Laki,SEKOLAH VOKASI,D4 Pengembangan Produk Agroindustri,Semester 5,Vokasi (Sarjana Terapan/D4),Instagram GIK UGM,Saya tertarik setelah saya melihat informasi dari social media GIK
2025-07-20 19:49:11,Universitas Gadjah Mada,Laki-Laki,SEKOLAH VOKASI,D4 Teknologi Rekayasa Elektro,Semester 5,Vokasi (Sarjana Terapan/D4),Teman,Saya tertarik setelah saya mendapatkan informasi program ini di UGM Integrated Career Days
2025-07-20 22:16:59,Universitas Gadjah Mada,Laki-Laki,TEKNOLOGI PERTANIAN,S1 Teknologi Industri Pertanian,Semester 7,Akademik (Sarjana/S1),Instagram GIK UGM,Saya tertarik setelah saya melihat informasi dari social media GIK
2025-07-20 23:05:45,Universitas Teknologi Yogyakarta,Laki-Laki,TEKNOLOGI PERTANIAN,S1 Teknik Pertanian,Semester 5,Akademik (Sarjana/S1),Simaster,Saya tertarik setelah saya mendapatkan informasi program ini di UGM Integrated Career Days
2025-07-17 14:57:59,Universitas Gadjah Mada,Laki-Laki,MATEMATIKA DAN ILMU PENGETAHUAN ALAM,S1 Matematika,Semester 9,Akademik (Sarjana/S1),Teman,Saya tertarik setelah saya melihat informasi dari social media mitra GIKnowledge Building
2025-07-01 14:07:58,Universitas Gadjah Mada,Laki-Laki,SEKOLAH VOKASI,D4 Pembangunan Ekonomi Kewilayahan,Semester 7,Vokasi (Sarjana Terapan/D4),Instagram GIK UGM,Saya tertarik setelah mendengarkan sosialisasi
2025-07-19 21:27:50,Universitas Gadjah Mada,Laki-Laki,EKONOMIKA DAN BISNIS,Master Of Science Management,N/A,Alumni UGM,Instagram GIK UGM,"Saya tertarik setelah mendengarkan sosialisasi, Saya tertarik setelah mendengar teman saya ikut mendaftar GIKnowledge Building 2024, Saya tertarik setelah saya mendapatkan informasi program ini di UGM Integrated Career Days, Saya tertarik setelah saya mendapatkan informasi dari Prodi/Fakultas, Saya tertarik setelah saya melihat informasi dari social media GIK, Saya tertarik setelah saya melihat informasi dari social media mitra GIKnowledge Building"
2025-06-26 22:19:18,Universitas Gadjah Mada,Laki-Laki,SEKOLAH VOKASI,D4 Teknologi Rekayasa Perangkat Lunak,Semester 5,Vokasi (Sarjana Terapan/D4),Instagram GIK UGM,"Saya tertarik setelah mendengarkan sosialisasi, Saya tertarik setelah saya melihat informasi dari social media GIK"
2025-07-15 14:56:01,Universitas Gadjah Mada,Laki-Laki,MATEMATIKA DAN ILMU PENGETAHUAN ALAM,S2 Matematika,Semester 5,Akademik (Pascasarjana/S2),Twitter,Saya tertarik setelah saya melihat informasi dari social media mitra GIKnowledge Building
2025-06-12 16:27:03,Universitas Gadjah Mada,Laki-Laki,PETERNAKAN,S1 Ilmu dan Industri Peternakan,Semester 9,Akademik (Sarjana/S1),Instagram GIK UGM,"Saya tertarik setelah mendengarkan sosialisasi, Saya tertarik setelah mendengar teman saya ikut mendaftar GIKnowledge Building 2024, Saya tertarik setelah saya mendapatkan informasi program ini di UGM Integrated Career Days, Saya tertarik setelah saya mendapatkan informasi dari Prodi/Fakultas, Saya tertarik setelah saya melihat informasi dari social media GIK, Saya tertarik setelah saya melihat informasi dari social media mitra GIKnowledge Building"
2025-07-19 21:10:42,Universitas Negeri Yogyakarta,Laki-Laki,PSIKOLOGI,S1 Psikologi,Semester 7,Akademik (Sarjana/S1),Instagram GIK UGM,
2025-07-16 17:52:12,Universitas Negeri Yogyakarta,Laki-Laki,PERTANIAN,S1 Proteksi Tanaman,Semester 5,Akademik (Sarjana/S1),Ditmawa,Saya tertarik setelah saya melihat informasi dari social media mitra GIKnowledge Building
2025-06-16 16:21:07,Universitas Gadjah Mada,Laki-Laki,ILMU SOSIAL DAN ILMU POLITIK,S1 International Relations,Semester 5,Akademik (Sarjana/S1),Email,Saya tertarik setelah saya mendapatkan informasi dari Prodi/Fakultas
2025-06-27 9:53:53,Universitas Gadjah Mada,Laki-Laki,ILMU BUDAYA,S1 Bahasa dan Sastra Indonesia,Semester 5,Akademik (Sarjana/S1),"Teman, Prodi/Fakultas",Saya tertarik setelah saya mendapatkan informasi dari Prodi/Fakultas
2025-07-20 21:01:43,Universitas Gadjah Mada,Perempuan,BIOLOGI,S1 Biologi,N/A,Akademik (Sarjana/S1),"Instagram GIK UGM, Teman","Saya tertarik setelah mendengarkan sosialisasi, Saya tertarik setelah saya mendapatkan informasi program ini di UGM Integrated Career Days, Saya tertarik setelah saya melihat informasi dari social media mitra GIKnowledge Building"
2025-06-27 20:44:30,Universitas Gadjah Mada,Perempuan,HUKUM,S1 Hukum,Semester 9,Akademik (Sarjana/S1),"Instagram GIK UGM, Website GIK UGM, Prodi/Fakultas","Saya tertarik setelah mendengarkan sosialisasi, Saya tertarik setelah saya mendapatkan informasi program ini di UGM Integrated Career Days, Saya tertarik setelah saya melihat informasi dari social media GIK, Saya tertarik setelah saya melihat informasi dari social media mitra GIKnowledge Building"
2025-07-13 14:31:02,Universitas Gadjah Mada,Perempuan,PSIKOLOGI,S2 Psikologi Sains,Semester 5,Akademik (Pascasarjana/S2),Instagram GIK UGM,Saya tertarik setelah saya melihat informasi dari social media GIK
2025-07-01 21:04:06,Universitas Gadjah Mada,Perempuan,TEKNIK,S1 Teknik Kimia,Semester 7,Akademik (Sarjana/S1),Teman,"Saya tertarik setelah mendengarkan sosialisasi, Saya tertarik setelah saya mendapatkan informasi program ini di UGM Integrated Career Days"
2025-07-20 17:12:41,Universitas Gadjah Mada,Laki-Laki,PSIKOLOGI,S1 Psikologi,Semester 7,Akademik (Sarjana/S1),Instagram GIK UGM,"Saya tertarik setelah mendengarkan sosialisasi, Saya tertarik setelah saya mendapatkan informasi program ini di UGM Integrated Career Days"
2025-07-20 22:58:58,Universitas Gadjah Mada,Laki-Laki,FARMASI,S1,Semester 5,Akademik (Sarjana/S1),"Instagram GIK UGM, UGM Integrated Career Days 2025","Saya tertarik setelah saya mendapatkan informasi program ini di UGM Integrated Career Days, Saya tertarik setelah saya melihat informasi dari social media GIK"
2025-07-20 22:57:20,Universitas Gadjah Mada,Perempuan,SEKOLAH VOKASI,D4 Pembangunan Ekonomi Kewilayahan,Semester 5,Vokasi (Sarjana Terapan/D4),Instagram GIK UGM,Saya tertarik setelah saya melihat informasi dari social media GIK
2025-07-20 0:06:34,Universitas Gadjah Mada,Perempuan,BIOLOGI,S1 Biologi,Semester 7,Akademik (Sarjana/S1),Teman,"Saya tertarik setelah mendengar teman saya ikut mendaftar GIKnowledge Building 2024, Saya tertarik setelah saya mendapatkan informasi program ini di UGM Integrated Career Days"
2025-07-16 16:44:41,UPNV Yk ,Perempuan,KEDOKTERAN HEWAN,Dokter Hewan,N/A,Alumni UGM,WA Ditmawa UGM,"Saya tertarik setelah mendengarkan sosialisasi, Saya tertarik setelah saya melihat informasi dari social media mitra GIKnowledge Building"
2025-07-20 19:21:48,Universitas Gadjah Mada,Perempuan,TEKNOLOGI PERTANIAN,S1 Teknik Pertanian,N/A,Akademik (Sarjana/S1),Instagram GIK UGM,"Saya tertarik setelah mendengarkan sosialisasi, Saya tertarik setelah mendengar teman saya ikut mendaftar GIKnowledge Building 2024, Saya tertarik setelah saya mendapatkan informasi program ini di UGM Integrated Career Days, Saya tertarik setelah saya mendapatkan informasi dari Prodi/Fakultas, Saya tertarik setelah saya melihat informasi dari social media GIK, Saya tertarik setelah saya melihat informasi dari social media mitra GIKnowledge Building"
2025-07-10 21:29:41,Universitas Gadjah Mada,Laki-Laki,PERTANIAN,S1 Akuakultur,N/A,Akademik (Sarjana/S1),Instagram GIK UGM,Saya tertarik setelah mendengarkan sosialisasi
2025-07-20 6:34:58,Universitas Gadjah Mada,Perempuan,SEKOLAH VOKASI,D4 Pengembangan Produk Agroindustri,Semester 9,Vokasi (Sarjana Terapan/D4),Prodi/Fakultas,"Saya tertarik setelah mendengarkan sosialisasi, Saya tertarik setelah saya mendapatkan informasi dari Prodi/Fakultas, Saya tertarik setelah saya melihat informasi dari social media mitra GIKnowledge Building"
2025-07-01 8:36:48,Universitas Gadjah Mada,Perempuan,"KEDOKTERAN, KESEHATAN MASYARAKAT, DAN KEPERAWATAN",S2 Kebijakan dan Manajemen Kesehatan,N/A,Akademik (Pascasarjana/S2),Instagram GIK UGM,Saya tertarik setelah saya melihat informasi dari social media GIK
2025-06-26 23:49:33,Universitas Gadjah Mada,Perempuan,EKONOMIKA DAN BISNIS,S2 Magister Manajemen,N/A,Akademik (Pascasarjana/S2),"Instagram GIK UGM, Website GIK UGM, Teman","Saya tertarik setelah saya mendapatkan informasi program ini di UGM Integrated Career Days, Saya tertarik setelah saya melihat informasi dari social media GIK, Saya tertarik setelah saya melihat informasi dari social media mitra GIKnowledge Building"
2025-07-19 15:54:31,Universitas Gadjah Mada,Perempuan,MATEMATIKA DAN ILMU PENGETAHUAN ALAM,S1 Kimia,Semester 7,Akademik (Sarjana/S1),Instagram GIK UGM,"Saya tertarik setelah saya mendapatkan informasi program ini di UGM Integrated Career Days, Saya tidak ingin menyiakan kesempatan dan privilege saya sebagai mahasiswa UGM terhadap program unggulan yang bisa mengembangkan minat saya dalam berkarir ataupun berkarya untuk sesama hidup"
2025-07-07 10:11:27,UPN Veteran Yogyakarta,Perempuan,"KEDOKTERAN, KESEHATAN MASYARAKAT, DAN KEPERAWATAN",S2 Magister Kesehatan Masyarakat,N/A,Akademik (Pascasarjana/S2),"Instagram GIK UGM, Teman","Saya tertarik setelah mendengar teman saya ikut mendaftar GIKnowledge Building 2024, Saya tertarik setelah saya melihat informasi dari social media GIK"
2025-07-19 21:51:24,Universitas Gadjah Mada,Laki-Laki,BIOLOGI,S2 Biologi,N/A,Akademik (Pascasarjana/S2),Instagram GIK UGM,Saya tertarik setelah saya melihat informasi dari social media GIK
2025-07-04 11:17:54,Universitas Gadjah Mada,Perempuan,TEKNIK,S1 Teknik Geologi,Semester 7,Akademik (Sarjana/S1),Instagram GIK UGM,Saya tertarik setelah mendengarkan sosialisasi
2025-07-20 22:58:11,Universitas Gadjah Mada,Perempuan,BIOLOGI,S1 Biologi,Semester 7,Akademik (Sarjana/S1),Instagram GIK UGM,Saya tertarik setelah saya melihat informasi dari social media GIK
2025-07-14 11:51:31,Universitas Gadjah Mada,Perempuan,FILSAFAT,S1 Filsafat,Semester 5,Akademik (Sarjana/S1),"Instagram GIK UGM, Teman","Saya tertarik setelah mendengar teman saya ikut mendaftar GIKnowledge Building 2024, Saya tertarik setelah saya melihat informasi dari social media GIK"
2025-07-20 23:58:28,Universitas Gadjah Mada,Perempuan,ILMU SOSIAL DAN ILMU POLITIK,S1 Ilmu Komunikasi,Semester 5,Akademik (Sarjana/S1),"Instagram GIK UGM, Website GIK UGM","Saya tertarik setelah mendengarkan sosialisasi, Saya tertarik setelah saya mendapatkan informasi program ini di UGM Integrated Career Days, Saya tertarik setelah saya melihat informasi dari social media GIK, Saya tertarik setelah saya melihat informasi dari social media mitra GIKnowledge Building"
2025-06-30 18:41:18,Universitas Gadjah Mada,Perempuan,PERTANIAN,S1 Proteksi Tanaman,Semester 5,Akademik (Sarjana/S1),WhatsApp Group Jardine Foundation Scholarship,Saya tertarik setelah mendengarkan sosialisasi
2025-07-20 23:01:53,Universitas Gadjah Mada,Perempuan,SEKOLAH PASCASARJANA,S2 Ilmu Lingkungan,N/A,Akademik (Pascasarjana/S2),Instagram GIK UGM,"Saya tertarik setelah mendengarkan sosialisasi, Saya tertarik setelah mendengar teman saya ikut mendaftar GIKnowledge Building 2024, Saya tertarik setelah saya mendapatkan informasi program ini di UGM Integrated Career Days, Saya tertarik setelah saya mendapatkan informasi dari Prodi/Fakultas, Saya tertarik setelah saya melihat informasi dari social media GIK, Saya tertarik setelah saya melihat informasi dari social media mitra GIKnowledge Building"
2025-07-19 21:41:35,Universitas Gadjah Mada,Perempuan,TEKNIK,S1 Teknik Kimia,Semester 7,Akademik (Sarjana/S1),Instagram GIK UGM,Saya tertarik setelah saya melihat informasi dari social media GIK
2025-07-11 0:25:38,Universitas Gadjah Mada,Perempuan,SEKOLAH VOKASI,D4 Pengembangan Produk Agroindustri,Semester 5,Vokasi (Sarjana Terapan/D4),Instagram GIK UGM,"Saya tertarik setelah mendengarkan sosialisasi, Saya tertarik setelah saya mendapatkan informasi program ini di UGM Integrated Career Days, Saya tertarik setelah saya melihat informasi dari social media GIK"
2025-07-20 11:58:36,Universitas Gadjah Mada,Perempuan,MATEMATIKA DAN ILMU PENGETAHUAN ALAM,S1 Kimia,Semester 5,Akademik (Sarjana/S1),Instagram GIK UGM,"Saya tertarik setelah saya melihat informasi dari social media GIK, Saya tertarik setelah saya melihat informasi dari social media mitra GIKnowledge Building"
2025-06-26 16:52:56,Universitas Negeri Yogyakarta,Perempuan,SEKOLAH VOKASI,D4 TEKNOLOGI REKAYASA MESIN,Semester 5,Vokasi (Sarjana Terapan/D4),"Instagram GIK UGM, Prodi/Fakultas","Saya tertarik setelah saya mendapatkan informasi dari Prodi/Fakultas, Saya tertarik setelah saya melihat informasi dari social media GIK"
2025-07-20 21:45:50,Universitas Gadjah Mada,Perempuan,ILMU BUDAYA,S1 Sastra Inggris,N/A,Akademik (Sarjana/S1),X,Tertarik dari ugm_fess
2025-06-13 17:30:30,Universitas Gadjah Mada,Perempuan,PETERNAKAN,S1 Ilmu dan Industri Peternakan,Semester 5,Akademik (Sarjana/S1),Instagram GIK UGM,Saya tertarik setelah saya melihat informasi dari social media GIK
2025-07-20 23:44:29,Universitas Gadjah Mada,Perempuan,TEKNIK,S1 Teknik Kimia,Semester 9,Akademik (Sarjana/S1),Prodi/Fakultas,Saya tertarik setelah saya mendapatkan informasi dari Prodi/Fakultas
2025-07-20 20:57:34,UIN Suka,Perempuan,ILMU SOSIAL DAN ILMU POLITIK,S1 Ilmu Komunikasi,Semester 5,Akademik (Sarjana/S1),Instagram GIK UGM,Saya tertarik setelah saya melihat informasi dari social media GIK
2025-07-20 23:59:08,Universitas Gadjah Mada,Perempuan,SEKOLAH VOKASI,D4 Teknologi Rekayasa Elektro,Semester 5,Vokasi (Sarjana Terapan/D4),Instagram GIK UGM,Saya tertarik setelah saya melihat informasi dari social media GIK
